regiao,estado,mes,semana,mes_semana,febre,tosse,dor_garganta,dor_cabeca,dor_olhos,coriza,fadiga,nausea,diarreia,dor_peito,dor_muscular,dificuldade_respirar,cheiro_sabor,risco_idade,diabetes,hipertensao,doenca_respiratoria,doenca_cardiaca,depessao,cancer
Nordeste,PI,10,3,10_3,27,30,26,29,4,29,18,6,5,1,23,5,11,501,102,337,91,71,47,14
Nordeste,PI,10,2,10_2,18,22,25,32,5,23,16,6,9,4,21,12,10,469,119,306,90,59,47,20
Nordeste,PI,10,1,10_1,19,25,23,29,5,24,16,14,11,4,18,5,12,463,110,339,98,60,44,12
Nordeste,PI,11,3,11_3,17,29,30,22,2,44,18,8,7,5,17,11,7,523,109,340,99,76,53,16
Nordeste,PI,11,1,11_1,8,18,22,26,2,25,15,7,7,3,15,3,6,468,111,339,98,58,46,10
Nordeste,PI,9,4,9_4,6,14,11,22,1,21,10,6,4,4,10,5,4,507,111,367,80,54,55,13
Nordeste,PI,9,2,9_2,13,29,34,35,5,27,11,6,5,8,15,9,2,463,118,313,85,56,52,21
Nordeste,PI,9,1,9_1,16,18,12,23,4,22,8,5,6,7,13,7,4,473,110,323,99,60,36,13
Nordeste,PI,11,2,11_2,17,17,29,38,6,31,15,4,5,2,18,3,5,476,117,309,88,59,49,20
Nordeste,PI,11,4,11_4,19,25,21,29,6,28,18,10,10,5,12,7,6,517,123,387,85,62,55,14
Centro-Oeste,GO,9,3,9_3,45,72,52,88,22,63,35,24,22,22,69,33,30,821,214,572,186,125,118,34
Centro-Oeste,GO,9,1,9_1,39,85,58,96,21,71,43,26,20,28,66,39,30,795,193,547,189,119,123,37
Centro-Oeste,GO,10,3,10_3,42,70,46,70,16,45,37,18,17,21,40,31,26,802,207,544,188,120,119,33
Centro-Oeste,GO,9,4,9_4,30,58,42,88,15,53,31,14,15,12,42,33,25,848,223,543,172,103,112,39
Centro-Oeste,GO,9,2,9_2,48,83,75,117,28,88,50,22,22,26,78,38,47,818,227,525,206,109,133,46
Centro-Oeste,GO,10,4,10_4,37,56,50,80,15,62,21,19,13,15,52,18,22,841,217,533,186,108,118,33
Centro-Oeste,GO,10,2,10_2,35,66,49,78,16,57,31,17,19,9,51,12,21,833,237,543,214,111,129,43
Centro-Oeste,GO,10,1,10_1,27,42,43,58,10,38,25,7,16,10,41,11,22,818,205,560,194,116,128,35
Centro-Oeste,GO,11,4,11_4,48,77,60,77,12,74,33,12,10,16,45,29,16,840,217,539,197,113,129,36
Centro-Oeste,GO,11,3,11_3,21,49,34,61,8,49,16,7,13,8,35,10,14,841,212,573,190,124,120,34
Centro-Oeste,GO,11,2,11_2,41,66,51,69,7,65,26,14,10,10,45,18,14,850,248,549,217,110,142,44
Centro-Oeste,GO,11,1,11_1,22,39,34,57,15,42,21,14,14,8,41,11,13,833,215,591,200,126,141,34
Nordeste,BA,9,2,9_2,25,76,35,107,15,89,25,8,10,10,41,10,13,1009,248,711,138,142,87,40
Nordeste,BA,9,4,9_4,24,56,44,103,12,97,17,15,18,7,59,13,16,1017,242,685,124,105,91,35
Nordeste,BA,9,3,9_3,25,45,34,82,14,59,31,13,14,11,56,10,7,1032,229,669,125,113,81,41
Nordeste,BA,10,2,10_2,19,57,29,94,7,68,28,12,13,7,40,11,6,970,248,677,137,131,79,38
Nordeste,BA,10,1,10_1,24,59,42,81,13,57,28,19,20,13,62,21,18,958,248,720,122,115,98,34
Nordeste,BA,10,3,10_3,22,52,44,61,11,68,25,14,9,11,40,16,12,966,233,653,123,98,85,35
Nordeste,BA,11,4,11_4,41,76,62,116,24,90,40,24,40,19,64,20,30,1008,244,698,158,115,90,37
Nordeste,BA,9,1,9_1,24,62,53,113,12,65,41,11,11,15,53,15,7,945,245,711,118,116,101,28
Nordeste,BA,10,4,10_4,20,58,39,84,12,72,31,18,16,15,55,12,12,994,242,688,147,101,91,34
Nordeste,BA,11,2,11_2,32,60,55,71,7,58,24,14,19,6,46,10,6,972,258,693,134,130,87,37
Nordeste,BA,11,1,11_1,23,34,31,59,6,53,19,14,14,10,30,9,11,967,241,721,133,106,103,32
Nordeste,BA,11,3,11_3,20,42,39,72,10,60,24,4,8,5,35,13,10,1012,241,672,129,101,87,39
Sul,RS,11,2,11_2,46,83,67,123,19,94,80,31,32,24,86,41,28,1596,377,1039,439,245,379,112
Sul,RS,11,3,11_3,60,107,89,110,25,105,74,25,38,15,83,36,34,1610,330,1017,380,229,366,124
Sul,RS,11,4,11_4,47,112,75,129,28,81,83,41,38,29,94,30,36,1645,382,1056,369,243,380,120
Sul,RS,9,2,9_2,42,114,86,174,32,138,80,36,26,33,96,48,25,1605,377,1051,449,241,364,103
Sul,RS,9,3,9_3,33,117,96,169,37,144,80,19,27,36,97,47,33,1666,336,1012,407,227,346,122
Sul,RS,9,1,9_1,47,129,83,172,28,130,70,32,29,30,84,46,24,1635,402,1088,483,281,384,150
Sul,RS,9,4,9_4,31,98,83,124,27,118,67,29,30,25,85,44,20,1674,367,1048,392,231,365,119
Sul,RS,10,2,10_2,37,98,73,129,33,119,76,30,28,31,86,35,16,1596,376,1040,425,254,398,112
Sul,RS,10,3,10_3,37,84,60,109,23,82,77,28,25,16,78,29,23,1620,322,1009,384,232,364,129
Sul,RS,10,1,10_1,28,83,75,125,30,100,68,25,18,25,69,34,23,1610,408,1104,470,298,390,147
Sul,RS,10,4,10_4,30,72,51,86,16,77,66,20,25,14,64,28,13,1667,380,1054,373,230,354,118
Sul,RS,11,1,11_1,40,73,74,108,23,101,73,20,25,24,76,21,17,1611,405,1074,463,299,390,149
Sudeste,MG,9,2,9_2,65,150,101,198,39,184,64,26,51,30,107,61,26,2294,555,1529,632,285,417,124
Sudeste,MG,9,1,9_1,50,156,81,171,20,156,55,26,33,28,91,52,17,2181,533,1535,649,301,412,111
Sudeste,MG,10,4,10_4,51,116,89,132,23,122,50,26,31,23,83,35,19,2264,527,1565,628,284,394,123
Sudeste,MG,11,4,11_4,90,167,121,201,42,215,63,37,54,31,122,54,47,2259,529,1594,649,281,401,123
Sudeste,MG,11,1,11_1,43,102,71,129,17,124,48,13,25,13,82,22,22,2174,548,1568,664,328,453,109
Sudeste,MG,9,3,9_3,43,136,69,157,25,162,47,34,31,25,87,35,31,2181,526,1495,629,292,402,102
Sudeste,MG,9,4,9_4,57,114,68,172,19,128,51,26,30,25,93,48,22,2277,505,1542,642,276,368,123
Sudeste,MG,10,3,10_3,46,97,73,126,23,122,48,23,22,33,71,36,34,2151,528,1515,633,280,411,99
Sudeste,MG,10,2,10_2,59,118,77,133,22,117,48,24,36,21,89,41,26,2285,559,1543,649,295,420,131
Sudeste,MG,10,1,10_1,46,92,62,142,21,100,44,36,45,20,79,37,26,2171,536,1540,666,314,422,113
Sudeste,MG,11,3,11_3,70,162,123,182,34,187,61,28,41,27,119,46,37,2198,533,1537,643,301,437,102
Sudeste,MG,11,2,11_2,51,159,119,148,18,155,68,35,42,28,75,50,34,2283,575,1544,667,292,419,134
Sul,PR,10,1,10_1,29,62,49,72,14,74,38,25,25,15,46,15,32,1247,327,788,316,174,236,72
Sul,PR,11,4,11_4,61,86,103,103,20,76,44,24,25,20,58,27,30,1245,313,797,257,175,225,84
Sul,PR,11,1,11_1,27,63,65,64,14,55,36,16,12,18,37,23,17,1279,335,814,310,178,235,70
Sul,PR,9,2,9_2,30,76,72,86,19,88,46,13,18,18,56,24,22,1293,309,785,286,203,232,82
Sul,PR,9,4,9_4,26,54,39,88,16,82,41,12,23,10,39,22,18,1269,314,804,261,174,224,83
Sul,PR,9,3,9_3,17,54,47,62,15,87,21,12,14,14,37,17,17,1321,355,809,272,166,246,89
Sul,PR,9,1,9_1,31,90,71,96,14,104,44,18,24,23,62,22,20,1252,330,796,316,171,226,69
Sul,PR,10,4,10_4,22,34,39,76,14,43,21,12,13,18,34,14,15,1243,315,806,263,170,216,84
Sul,PR,10,3,10_3,23,39,45,78,16,46,26,20,15,9,34,15,8,1299,354,825,269,173,253,89
Sul,PR,10,2,10_2,29,58,47,68,15,62,26,16,23,5,35,12,9,1295,313,794,285,201,241,85
Sul,PR,11,3,11_3,50,100,92,119,32,90,53,22,30,31,64,36,39,1305,351,826,272,171,247,87
