mes,semana,mes_semana,regiao,estado,buscou_estabelecimento_saude,foi_internado,sem_atendimento,sedado_entubado,respondentes
10,1,10_1,Sudeste,RJ,1,0,1,0,1
11,3,11_3,Sudeste,RJ,28,0,0,0,28
11,1,11_1,Sudeste,RJ,4,0,0,0,4
11,3,11_3,Sudeste,RJ,39,0,0,0,39
11,2,11_2,Sudeste,RJ,24,0,0,0,24
11,4,11_4,Sudeste,RJ,1,1,0,0,1
11,2,11_2,Sudeste,RJ,32,0,0,0,32
11,2,11_2,Sudeste,RJ,1,1,0,1,1
11,4,11_4,Sudeste,RJ,1,1,0,1,1
9,2,9_2,Sudeste,SP,41,0,0,0,41
9,2,9_2,Sudeste,SP,34,0,0,0,34
9,3,9_3,Sudeste,SP,40,0,0,0,40
9,1,9_1,Sudeste,SP,45,0,0,0,45
9,3,9_3,Sudeste,SP,48,0,0,0,48
9,2,9_2,Sudeste,SP,4,4,0,0,4
9,4,9_4,Sudeste,SP,1,1,0,0,1
9,3,9_3,Sudeste,SP,1,1,0,1,1
10,1,10_1,Sudeste,SP,28,0,0,0,28
10,2,10_2,Sudeste,SP,50,0,0,0,50
10,4,10_4,Sudeste,SP,44,0,0,0,44
10,3,10_3,Sudeste,SP,45,0,0,0,45
10,2,10_2,Sudeste,SP,3,3,0,3,3
10,1,10_1,Sudeste,SP,3,3,0,3,3
10,4,10_4,Sudeste,SP,4,4,0,0,4
10,1,10_1,Sudeste,SP,4,4,0,0,4
10,3,10_3,Sudeste,SP,3,3,0,3,3
10,3,10_3,Sudeste,SP,5,5,0,0,5
11,1,11_1,Sudeste,SP,48,0,0,0,48
11,2,11_2,Sudeste,SP,46,0,0,0,46
11,4,11_4,Sudeste,SP,3,3,0,3,3
11,4,11_4,Sudeste,SP,52,0,0,0,52
11,2,11_2,Sudeste,SP,7,7,0,0,7
11,4,11_4,Sudeste,SP,36,0,0,0,36
11,2,11_2,Sudeste,SP,26,0,0,0,26
11,1,11_1,Sudeste,SP,3,3,0,0,3
11,2,11_2,Sudeste,SP,3,0,0,0,3
11,4,11_4,Sudeste,SP,1,1,0,0,1
9,3,9_3,Norte,AP,11,0,0,0,11
9,1,9_1,Norte,AP,4,0,0,0,4
9,3,9_3,Norte,AP,3,0,0,0,3
9,1,9_1,Norte,AP,1,0,0,0,1
10,1,10_1,Norte,AP,4,0,0,0,4
10,2,10_2,Norte,AP,1,0,0,0,1
10,3,10_3,Norte,AP,5,0,0,0,5
